{'.id': '*771CE8', 'type': 'A', 'data': '202.6.211.33', 'name': 'vpn.tarumanagara.com', 'ttl': '1h', 'static': True, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771E87', 'type': 'TXT', 'data': '"facebook-domain-verification=n6cqjfucq6plswmtfbwnbbeu1qiq3v"', 'name': 'apple.com', 'ttl': '4s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771E88', 'type': 'TXT', 'data': '"json:eyJ3aHkiOiJUaGlzIGlzIHRvIHRydW5jYXRlIFVEUCByZXNwb25zZXMgZm9yIFRYVCBxdWVyaWVzIHRvIGFwcGxlLmNvbSIsInBhZGRpbmciOiJxdWFoMGVpamFhNGVlajh0aWVkYWlnaG9jZWljaGFlOGVUb3ppZTVmdTVhaFRoMldlaU00aWsyaHVxdThpZXBoaWVxdW9oc2hlaXBhZWdoOUthZWw3b2NoaWVuZ2llem9lc2g1In0K"', 'name': 'apple.com', 'ttl': '4s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771E89', 'type': 'TXT', 'data': '"json:eyJ3aHkiOiJUaGlzIGlzIHRvIHRydW5jYXRlIFVEUCByZXNwb25zZXMgZm9yIFRYVCBxdWVyaWVzIHRvIGFwcGxlLmNvbSIsInBhZGRpbmciOiJpZW4wYWVHaGF0aG9oNmhhaHZpZWphaTNlYXkwYWh2YWhjaGFocXVhZWxlZTBZdWw0cGhpZXRoMHNvNXZpZXllZWNvaDRpZThzaGVlcGllVDNwYWVjaGVpVjZqb2h3aWVwaG82In0K"', 'name': 'apple.com', 'ttl': '4s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771E8A', 'type': 'TXT', 'data': '"cerner-client-id=22dd1d8a-5e8b-4e1e-80ef-39bcdfd42798"', 'name': 'apple.com', 'ttl': '4s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771E8B', 'type': 'TXT', 'data': '"77a4a6de-da14-449c-83c4-85366e0f55f9"', 'name': 'apple.com', 'ttl': '4s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771E8C', 'type': 'TXT', 'data': '"adobe-idp-site-verification=6bd5e74c-a3a0-4781-b2e1-e95399b5e11c"', 'name': 'apple.com', 'ttl': '4s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771E8D', 'type': 'TXT', 'data': '"cerner-client-id=ce3abf18-ee87-43b9-9927-9eb24b4bac4a"', 'name': 'apple.com', 'ttl': '4s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771E8E', 'type': 'TXT', 'data': '"v=spf1 include:_spf.apple.com include:_spf-txn.apple.com ~all"', 'name': 'apple.com', 'ttl': '4s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771E8F', 'type': 'TXT', 'data': '"cisco-ci-domain-verification=6f3bfb849796a518061f8e8c4356f687a138502d86db742791685059176547dd"', 'name': 'apple.com', 'ttl': '4s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771E90', 'type': 'TXT', 'data': '"ValidationTokenValue=77a4a6de-da14-449c-83c4-85366e0f55f9"', 'name': 'apple.com', 'ttl': '4s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771EB0', 'type': 'TXT', 'data': '"stripe-verification=c3c46ec084306a30bcc1d0551fb9a508231831f38a2723e874e6446c29281d55"', 'name': 'atlassian.com', 'ttl': '6s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771EB1', 'type': 'TXT', 'data': '"anodot-domain-verification=23e696e0e0d3bd0801e872b07a3ae2e96fd14cda1e6e0da7bbaf2e4e095cb21a"', 'name': 'atlassian.com', 'ttl': '6s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771EB2', 'type': 'TXT', 'data': '"stripe-verification=71d4571aac7216050c8bebaadf0538662d4e5a950b7c4cfd8e69b12a54835df1"', 'name': 'atlassian.com', 'ttl': '6s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771EB3', 'type': 'TXT', 'data': '"stripe-verification=427826c728dfce0a7a78322acfdbce70473ec2d999a739fd15d0151a8ccb0200"', 'name': 'atlassian.com', 'ttl': '6s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771EB4', 'type': 'TXT', 'data': '"mongodb-site-verification=7ITIBB5r72gygRCiBxwA5UQcOyng1Vz1"', 'name': 'atlassian.com', 'ttl': '6s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771EB5', 'type': 'TXT', 'data': '"d25ka488dfqyj6.cloudfront.net"', 'name': 'atlassian.com', 'ttl': '6s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771EB6', 'type': 'TXT', 'data': '"stripe-verification=27a7887beca7c109d6beeb7b154db1878cdb699d0d93e48a731ec08c694a6290"', 'name': 'atlassian.com', 'ttl': '6s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771EB7', 'type': 'TXT', 'data': '"stripe-verification=df30411351944f1496e1672379f26a194bc00c7fb0fcbbab989d610f090bffd8"', 'name': 'atlassian.com', 'ttl': '6s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771EB8', 'type': 'TXT', 'data': '"pardot548382=251a035bf1d916039f96c33d2457506ec1936c8c8331956b270cb6f51e4a1a6a"', 'name': 'atlassian.com', 'ttl': '6s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771EB9', 'type': 'TXT', 'data': '"google-site-verification=Lwmfu2vZQ0v_OCc48kYQNXCcmgP7Gj6Fg2kL08Xhfn0"', 'name': 'atlassian.com', 'ttl': '6s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771EBA', 'type': 'TXT', 'data': '"google-site-verification=961ryHZWzEAyKPpOY6xTPviMeUlp00RagzX7INHnRpk"', 'name': 'atlassian.com', 'ttl': '6s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771EBB', 'type': 'TXT', 'data': '"google-site-verification=U5hiOly8JOwhyRXMmxgWaDHGMem7kgQud1Iis8gshyA"', 'name': 'atlassian.com', 'ttl': '6s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771EBC', 'type': 'TXT', 'data': '"google-site-verification=4BcTn3m9wfJrq8ONDz9ltMbFhVgT51FVkfmSn-fcGZM"', 'name': 'atlassian.com', 'ttl': '6s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771EBD', 'type': 'TXT', 'data': '"onetrust-domain-verification=aa11449cf62348e78d229049ddf67df2"', 'name': 'atlassian.com', 'ttl': '6s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771EBE', 'type': 'TXT', 'data': '"google-site-verification=Kj7SMNgp41m5YiH7KEawowCRQFilQrRZ8D_TztiEn2g"', 'name': 'atlassian.com', 'ttl': '6s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771EBF', 'type': 'TXT', 'data': '"SFMC--FelJdVfs1qWNvc7OtWJs6MZcusOPOyWM_eCsysa"', 'name': 'atlassian.com', 'ttl': '6s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771EC0', 'type': 'TXT', 'data': '"miro-verification=6bd145c8ff96aabe81ebbc9298522ad4c41e08f6"', 'name': 'atlassian.com', 'ttl': '6s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771EC1', 'type': 'TXT', 'data': '"docusign=40001689-5955-4691-bdc0-0c95f792b589"', 'name': 'atlassian.com', 'ttl': '6s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771EC2', 'type': 'TXT', 'data': '"status-page-domain-verification=3fbwzqm8vjhr"', 'name': 'atlassian.com', 'ttl': '6s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771EC3', 'type': 'TXT', 'data': '"apple-domain-verification=xJk7gq0QjgmNwKOC"', 'name': 'atlassian.com', 'ttl': '6s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771F4D', 'type': 'TXT', 'data': '"amazonses:7LyiKZmpuGja4+KbA4xX3lN69yajYKLkHH4QJcWnuwo="', 'name': 'cisco.com', 'ttl': '21s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771F4E', 'type': 'TXT', 'data': '"pendo-domain-verification=c9d2fba1-7d94-4cf9-a6fb-310883c8bb15"', 'name': 'cisco.com', 'ttl': '21s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771F4F', 'type': 'TXT', 'data': '"duo_sso_verification=IYdVUIrb2L95JVejSXV3hfsJVDZolQKKOPBztlD6TIgfCRSKeMuf8WgbQuFLD4aL"', 'name': 'cisco.com', 'ttl': '21s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771F50', 'type': 'TXT', 'data': '"google-site-verification=Vc0Pir22m1u9yw5HjXf6TYO6rlAI9EY8IVKUma-OqDY"', 'name': 'cisco.com', 'ttl': '21s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771F51', 'type': 'TXT', 'data': '"amazonses:QbUv5pPHGQxRy1vKA0J7Y/biE9oR6MTxOTI1bZIfjsw="', 'name': 'cisco.com', 'ttl': '21s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771F52', 'type': 'TXT', 'data': '"sending_domain731003=25e34fadea88da7e64f0fab1e32d094f1f1e0fb2b97622deac2521f7a2c5b2bc"', 'name': 'cisco.com', 'ttl': '21s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771F53', 'type': 'TXT', 'data': '"apple-domain-verification=qOInipPgso3W8cmK"', 'name': 'cisco.com', 'ttl': '21s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771F54', 'type': 'TXT', 'data': '"intercom-domain-validation=8806e2f9-7626-4d9e-ae4d-2d655028629a"', 'name': 'cisco.com', 'ttl': '21s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771F55', 'type': 'TXT', 'data': '"airtable-verification=767e198a9ef8972b0bd4c2028f5070f3"', 'name': 'cisco.com', 'ttl': '21s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771F56', 'type': 'TXT', 'data': '"duo_sso_verification=AxenLdoqIXzjl2RJzE1BlOfkawDbDFlnbyvjAt8vcjKHBkvYwEMySDRk5QmBd66v"', 'name': 'cisco.com', 'ttl': '21s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771F57', 'type': 'TXT', 'data': '"google-site-verification=lW5eqPMJI4VrLc28YW-JBkqA-FDNVnhFCXQVDvFqZTo"', 'name': 'cisco.com', 'ttl': '21s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771F58', 'type': 'TXT', 'data': '"SFMC-o7HX74BQ79k7glpt_qjlF2vmZO9DpqLtYxKLwg87"', 'name': 'cisco.com', 'ttl': '21s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771F59', 'type': 'TXT', 'data': '"wiz-domain-verification=af241e6396696eedf1b361891435f6b21bdebb5621941d99279298c076b5bf5f"', 'name': 'cisco.com', 'ttl': '21s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771F5A', 'type': 'TXT', 'data': '"pendo-domain-verification=c9796502-c914-4e50-892d-e426f2ac68e9"', 'name': 'cisco.com', 'ttl': '21s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771F5B', 'type': 'TXT', 'data': '"MS=ms35724259"', 'name': 'cisco.com', 'ttl': '21s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771F5C', 'type': 'TXT', 'data': '"atlassian-domain-verification=AYTzL6wSVsW0IdyQp7gwv6lwtHdpMATnb8QriqyJ0niAaZct9kdSlXvfuE4GcoxU"', 'name': 'cisco.com', 'ttl': '21s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771F5D', 'type': 'TXT', 'data': '"google-site-verification=qPS9ZkoQ-Og1rBrM1_N7z-tNJNy2BVxE8lw6SB2iFdk"', 'name': 'cisco.com', 'ttl': '21s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771F5E', 'type': 'TXT', 'data': '"duo_sso_verification=6Q7pJwSZ3damWHBcB8TNd9I5oduLRAFDDhip2pTFaa3QoIZtZnCgzjyZr5teSOWS"', 'name': 'cisco.com', 'ttl': '21s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771F5F', 'type': 'TXT', 'data': '"google-site-verification=r-K1CIdXkgRWxZstUHtVyM2UfwflnGgr4AR9_Qhk28Q"', 'name': 'cisco.com', 'ttl': '21s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771F60', 'type': 'TXT', 'data': '"google-site-verification=WmdDuSXl3PMb-48qcY6VUbW9kzNPe46zn9uDwgB2wX0"', 'name': 'cisco.com', 'ttl': '21s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
