{'.id': '*F7FD1', 'type': 'NS', 'data': 'ns4.google.com', 'name': 'google.com', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*C5D5AF', 'type': 'NS', 'data': 'c.root-servers.net', 'name': '', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*C5D5B0', 'type': 'NS', 'data': 'a.root-servers.net', 'name': '', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*C5D5B1', 'type': 'NS', 'data': 'i.root-servers.net', 'name': '', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*C5D5B2', 'type': 'NS', 'data': 'h.root-servers.net', 'name': '', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*C5D5B3', 'type': 'NS', 'data': 'j.root-servers.net', 'name': '', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*C5D5B4', 'type': 'A', 'data': '198.41.0.4', 'name': 'a.root-servers.net', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*E87747', 'type': 'AAAA', 'data': '2001:4860:4802:32::a', 'name': 'ns1.google.com', 'ttl': '14m19s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*EA311D', 'type': 'AAAA', 'data': '2001:503:ba3e::2:30', 'name': 'a.root-servers.net', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*EA311E', 'type': 'AAAA', 'data': '2001:500:84::b', 'name': 'b.root-servers.net', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*EA311F', 'type': 'AAAA', 'data': '2001:500:2::c', 'name': 'c.root-servers.net', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*EA3120', 'type': 'AAAA', 'data': '2001:500:2d::d', 'name': 'd.root-servers.net', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*EA3121', 'type': 'AAAA', 'data': '2001:500:a8::e', 'name': 'e.root-servers.net', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*EA3122', 'type': 'AAAA', 'data': '2001:500:2f::f', 'name': 'f.root-servers.net', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*EA3123', 'type': 'AAAA', 'data': '2001:500:12::d0d', 'name': 'g.root-servers.net', 'ttl': '14m48s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*EB2768', 'type': 'AAAA', 'data': '2001:4860:4802:38::a', 'name': 'ns4.google.com', 'ttl': '14m19s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*EB568E', 'type': 'A', 'data': '216.239.38.10', 'name': 'ns4.google.com', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*EE46F5', 'type': 'AAAA', 'data': '2001:500:1::53', 'name': 'h.root-servers.net', 'ttl': '14m34s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*EEF93C', 'type': 'A', 'data': '198.97.190.53', 'name': 'h.root-servers.net', 'ttl': '14m48s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*F1EF26', 'type': 'A', 'data': '192.33.4.12', 'name': 'c.root-servers.net', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*F1EF27', 'type': 'A', 'data': '192.112.36.4', 'name': 'g.root-servers.net', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*F24FFB', 'type': 'AAAA', 'data': '2001:4860:4802:34::a', 'name': 'ns2.google.com', 'ttl': '14m19s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*F24FFC', 'type': 'AAAA', 'data': '2001:4860:4802:36::a', 'name': 'ns3.google.com', 'ttl': '14m19s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*F25301', 'type': 'A', 'data': '216.239.36.10', 'name': 'ns3.google.com', 'ttl': '14m19s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*F33748', 'type': 'AAAA', 'data': '2001:500:200::b', 'name': 'b.root-servers.net', 'ttl': '14m48s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*F45539', 'type': 'A', 'data': '199.7.91.13', 'name': 'd.root-servers.net', 'ttl': '14m48s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*F52CC4', 'type': 'A', 'data': '216.239.34.10', 'name': 'ns2.google.com', 'ttl': '14m19s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*F57B6A', 'type': 'A', 'data': '192.5.5.241', 'name': 'f.root-servers.net', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*F584A9', 'type': 'A', 'data': '216.239.32.10', 'name': 'ns1.google.com', 'ttl': '14m19s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*F915F4', 'type': 'A', 'data': '27.54.116.70', 'name': 'trustpositif.kominfo.go.id', 'ttl': '12m30s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*F9D08C', 'type': 'NS', 'data': 'ns2.google.com', 'name': 'youtube.com', 'ttl': '13m15s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*F9D08D', 'type': 'NS', 'data': 'ns3.google.com', 'name': 'youtube.com', 'ttl': '13m15s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*F9D08E', 'type': 'NS', 'data': 'ns1.google.com', 'name': 'youtube.com', 'ttl': '13m15s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*F9D08F', 'type': 'NS', 'data': 'ns4.google.com', 'name': 'youtube.com', 'ttl': '13m15s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*F9D8FF', 'type': 'NS', 'data': 'ns2.google.com', 'name': 'googleapis.com', 'ttl': '14m19s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*F9D900', 'type': 'NS', 'data': 'ns1.google.com', 'name': 'googleapis.com', 'ttl': '14m19s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*F9D901', 'type': 'NS', 'data': 'ns3.google.com', 'name': 'googleapis.com', 'ttl': '14m19s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*F9D902', 'type': 'NS', 'data': 'ns4.google.com', 'name': 'googleapis.com', 'ttl': '14m19s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*F9D9AE', 'type': 'A', 'data': '216.239.38.120', 'name': 'forcesafesearch.google.com', 'ttl': '14m40s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*F9E611', 'type': 'CNAME', 'data': 'e8652.dscx.akamaiedge.net', 'name': 'crl.root-x1.letsencrypt.org.edgekey.net', 'ttl': '13m38s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*F9E648', 'type': 'CNAME', 'data': 'e86303.dscx.akamaiedge.net', 'name': 'www.bing.com.edgekey.net', 'ttl': '13m34s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FA6C84', 'type': 'AAAA', 'data': '2001:7fe::53', 'name': 'i.root-servers.net', 'ttl': '13m29s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FA6C85', 'type': 'AAAA', 'data': '2001:503:c27::2:30', 'name': 'j.root-servers.net', 'ttl': '13m29s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FA6C86', 'type': 'AAAA', 'data': '2001:7fd::1', 'name': 'k.root-servers.net', 'ttl': '13m29s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FA6C87', 'type': 'A', 'data': '199.7.83.42', 'name': 'l.root-servers.net', 'ttl': '13m24s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FA6C88', 'type': 'AAAA', 'data': '2001:500:9f::42', 'name': 'l.root-servers.net', 'ttl': '13m29s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FA6C89', 'type': 'AAAA', 'data': '2001:dc3::35', 'name': 'm.root-servers.net', 'ttl': '13m29s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FA6DFD', 'type': 'A', 'data': '192.36.148.17', 'name': 'i.root-servers.net', 'ttl': '13m29s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FA8EFD', 'type': 'CNAME', 'data': 'a1371.z.akamai.net', 'name': 'pull-cmaf-f16-sg01.ttlivecdn.com.akamaized.net', 'ttl': '13m6s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FA9D82', 'type': 'CNAME', 'data': 'pull-cmaf-f16-va01.tiktokcdn.com.bytegeo.akadns.net', 'name': 'pull-cmaf-f16-va01.tiktokcdn.com.akamaized.net', 'ttl': '13m15s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FA9D98', 'type': 'CNAME', 'data': 'a1393.us.akamai.net', 'name': 'pull-cmaf-f16-tt03.fcdn.us.tiktokcdn.com.akamaized.net', 'ttl': '13m22s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FA9E02', 'type': 'CNAME', 'data': 'a1577.z.akamai.net', 'name': 'pull-cmaf-f16-tt03.fcdn.eu.tiktokcdn.com.akamaized.net', 'ttl': '13m8s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FA9E06', 'type': 'CNAME', 'data': 'a1390.us.akamai.net', 'name': 'pull-cmaf-l16-tt01.tiktokcdn-us.com.akamaized.net', 'ttl': '4m15s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FA9F9F', 'type': 'CNAME', 'data': 'a1918.us.akamai.net', 'name': 'pull-cmaf-f16-tt02.fcdn.us.tiktokv.com.akamaized.net', 'ttl': '13m23s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FAA13C', 'type': 'CNAME', 'data': 'a1947.z.akamai.net', 'name': 'pull-cmaf-l16-va01.tiktokcdn.com.akamaized.net', 'ttl': '7m55s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FAA1A2', 'type': 'CNAME', 'data': 'a1168.z.akamai.net', 'name': 'pull-cmaf-f16-va01.ttlivecdn.com.akamaized.net', 'ttl': '13m17s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FAAFCD', 'type': 'CNAME', 'data': 'a116.us.akamai.net', 'name': 'pull-cmaf-f16-tt02.tiktokcdn.com.akamaized.net', 'ttl': '13m9s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FAB42A', 'type': 'CNAME', 'data': 'a1491.z.akamai.net', 'name': 'pull-cmaf-f16-tt02-tt03.fcdn.eu.tiktokcdn.com.akamaized.net', 'ttl': '7m54s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FACC21', 'type': 'CNAME', 'data': 'fp2e7a.wpc.2be4.phicdn.net', 'name': 'crl.edge.digicert.com', 'ttl': '11m23s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FAF1DE', 'type': 'CNAME', 'data': 'fp2e7a.wpc.phicdn.net', 'name': 'fp2e7a.wpc.2be4.phicdn.net', 'ttl': '8m12s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FAFEAB', 'type': 'CNAME', 'data': 'a507.us.akamai.net', 'name': 'pull-cmaf-f16-tt01.tiktokcdn.com.akamaized.net', 'ttl': '13m27s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB1579', 'type': 'CNAME', 'data': 'a1736.z.akamai.net', 'name': 'pull-cmaf-l16-sg01.tiktokcdn.com.akamaized.net', 'ttl': '13m7s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB2CBE', 'type': 'CNAME', 'data': 'a21.z.akamai.net', 'name': 'pull-cmaf-f16-gcp01.ttlivecdn.com.akamaized.net', 'ttl': '13m8s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB440B', 'type': 'CNAME', 'data': 'a1837.z.akamai.net', 'name': 'pull-cmaf-l16-gcp01.tiktokcdn.com.akamaized.net', 'ttl': '8m1s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB5299', 'type': 'NS', 'data': 'ns3.google.com', 'name': 'gstatic.com', 'ttl': '12m44s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB529A', 'type': 'NS', 'data': 'ns4.google.com', 'name': 'gstatic.com', 'ttl': '12m44s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB529B', 'type': 'NS', 'data': 'ns1.google.com', 'name': 'gstatic.com', 'ttl': '12m44s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB529C', 'type': 'NS', 'data': 'ns2.google.com', 'name': 'gstatic.com', 'ttl': '12m44s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB558A', 'type': 'NS', 'data': 'ns2.google.com', 'name': 'googleusercontent.com', 'ttl': '13m22s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB558B', 'type': 'NS', 'data': 'ns1.google.com', 'name': 'googleusercontent.com', 'ttl': '13m22s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB558C', 'type': 'NS', 'data': 'ns4.google.com', 'name': 'googleusercontent.com', 'ttl': '13m22s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB558D', 'type': 'NS', 'data': 'ns3.google.com', 'name': 'googleusercontent.com', 'ttl': '13m22s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB64DA', 'type': 'CNAME', 'data': 'cs2-wpc.apr-8315.edgecastdns.net', 'name': 'cs296.wpc.edgecastcdn.net', 'ttl': '3m20s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB671C', 'type': 'CNAME', 'data': 'a2018.z.akamai.net', 'name': 'pull-cmaf-f16-tt03.tiktokcdn.com.akamaized.net', 'ttl': '13m21s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB6ACF', 'type': 'CNAME', 'data': 'a1857.z.akamai.net', 'name': 'pull-cmaf-f16-sg01.tiktokcdn.com.akamaized.net', 'ttl': '13m5s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB75AE', 'type': 'CNAME', 'data': 'a1790.dscb.akamai.net', 'name': 'p16-oec-va.ibyteimg.com.edgesuite.net', 'ttl': '1m27s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB7634', 'type': 'CNAME', 'data': 'a1837.b.akamai.net', 'name': 'p16-oec-common-useast2a.ibyteimg.com.edgesuite.net', 'ttl': '1m27s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB7E44', 'type': 'CNAME', 'data': 'a880.us.akamai.net', 'name': 'pull-cmaf-f16-tt01.fcdn.us.tiktokv.com.akamaized.net', 'ttl': '1m59s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB839F', 'type': 'CNAME', 'data': 'assets.msn.com.edgekey.net', 'name': 'assets.msn.com', 'ttl': '4m24s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB83EB', 'type': 'CNAME', 'data': 'a2047.mm2.akamai.net', 'name': 'p16-amd-va.tiktokcdn.com.akamaized.net', 'ttl': '1m23s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB83FB', 'type': 'CNAME', 'data': 'a2047.mm2.akamai.net', 'name': 'p16-sign-sg.tiktokcdn.com.akamaized.net', 'ttl': '1m4s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB8403', 'type': 'CNAME', 'data': 'a2047.r.akamai.net', 'name': 'mon.tiktokv.com.edgesuite.net', 'ttl': '1m32s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB842B', 'type': 'CNAME', 'data': 'a2047.mm2.akamai.net', 'name': 'p16-sign-va.tiktokcdn.com.akamaized.net', 'ttl': '48s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB84A7', 'type': 'CNAME', 'data': 'a1876.dscd.akamai.net', 'name': 'i5.weather.oppomobile.com.edgesuite.net', 'ttl': '7m24s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB862A', 'type': 'CNAME', 'data': 'config-teams.s-0005.s-msedge.net', 'name': 's-0005-teams.config.skype.com', 'ttl': '1m27s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB8637', 'type': 'CNAME', 'data': 'star.c10r.facebook.com', 'name': 'star.facebook.com', 'ttl': '7m25s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB863F', 'type': 'CNAME', 'data': 'star.c10r.facebook.com', 'name': 'api.facebook.com', 'ttl': '7m45s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB8708', 'type': 'CNAME', 'data': 'fp2e7a.wpc.2be4.phicdn.net', 'name': 'ocsp.edge.digicert.com', 'ttl': '2m23s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB870C', 'type': 'CNAME', 'data': 'e25691.a.akamaiedge.net', 'name': 'i.isnssdk.com.edgekey.net', 'ttl': '1m34s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB8779', 'type': 'CNAME', 'data': 'a1983.dscd.akamai.net', 'name': 'vps-v4-4.u.avcdn.net.edgesuite.net', 'ttl': '12m43s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB88B1', 'type': 'CNAME', 'data': 'a1948.z.akamai.net', 'name': 'pull-cmaf-f16-gcp01.tiktokcdn.com.akamaized.net', 'ttl': '7m50s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB8AC4', 'type': 'CNAME', 'data': 'ecs-office.s-0005.s-msedge.net', 'name': 's-0005-office.config.skype.com', 'ttl': '12m33s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB8CA6', 'type': 'CNAME', 'data': 'www.msftncsi.com.edgesuite.net', 'name': 'ncsi-geo.trafficmanager.net', 'ttl': '4m7s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB8E81', 'type': 'CNAME', 'data': 'e8406.b.akamaiedge.net', 'name': 'af-appsflyersdk.edgekey.net', 'ttl': '11m19s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB8F14', 'type': 'CNAME', 'data': 'a2047.r.akamai.net', 'name': 'gecko-sg.byteoversea.com.edgesuite.net', 'ttl': '11s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB8F1E', 'type': 'CNAME', 'data': 'a46.mm2.akamai.net', 'name': 'tnc16-alisg.isnssdk.com.edgesuite.net', 'ttl': '1m39s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB8FE4', 'type': 'CNAME', 'data': 'dgw.c10r.facebook.com', 'name': 'gateway.instagram.com', 'ttl': '1s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB8FF1', 'type': 'CNAME', 'data': 'e28622.a.akamaiedge.net', 'name': 'api16-core.tiktokv.com.edgekey.net', 'ttl': '12m47s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB902B', 'type': 'A', 'data': '185.199.111.133', 'name': 'raw.githubusercontent.com', 'ttl': '9s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB902C', 'type': 'A', 'data': '185.199.110.133', 'name': 'raw.githubusercontent.com', 'ttl': '9s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB902D', 'type': 'A', 'data': '185.199.109.133', 'name': 'raw.githubusercontent.com', 'ttl': '9s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB902E', 'type': 'A', 'data': '185.199.108.133', 'name': 'raw.githubusercontent.com', 'ttl': '9s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB9057', 'type': 'CNAME', 'data': 'a1488.dscd.akamai.net', 'name': 'ncc.avast.com.edgesuite.net', 'ttl': '10m21s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB905B', 'type': 'A', 'data': '34.104.35.123', 'name': 'edgedl.me.gvt1.com', 'ttl': '22s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB9063', 'type': 'CNAME', 'data': 'wns.notify.trafficmanager.net', 'name': 'client.wns.windows.com', 'ttl': '23s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB9095', 'type': 'CNAME', 'data': 'prod.configsvc1.live.com.akadns.net', 'name': 'config.officeapps.live.com', 'ttl': '5m29s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB90A3', 'type': 'CNAME', 'data': 'prod.odcsm1.live.com.akadns.net', 'name': 'odc.officeapps.live.com', 'ttl': '29s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB90E1', 'type': 'A', 'data': '157.240.208.14', 'name': 'scontent-cgk1-1.xx.fbcdn.net', 'ttl': '9m9s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB90F5', 'type': 'CNAME', 'data': 'p16-sign-va.tiktokcdn.com.akamaized.net', 'name': 'p16-sign-va.tiktokcdn.com', 'ttl': '48s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB9103', 'type': 'A', 'data': '118.98.166.250', 'name': 'sync3.kemdikbud.go.id', 'ttl': '50s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB9104', 'type': 'A', 'data': '118.98.166.252', 'name': 'sync5.kemdikbud.go.id', 'ttl': '50s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB9105', 'type': 'A', 'data': '118.98.166.248', 'name': 'sync1.kemdikbud.go.id', 'ttl': '50s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB9106', 'type': 'A', 'data': '118.98.166.251', 'name': 'sync4.kemdikbud.go.id', 'ttl': '50s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB9108', 'type': 'A', 'data': '118.98.166.249', 'name': 'sync2.kemdikbud.go.id', 'ttl': '50s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB9111', 'type': 'CNAME', 'data': 'v3.tiktokcdn.com.queniuaa.com', 'name': 'v3.tiktokcdn.com', 'ttl': '52s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB911C', 'type': 'CNAME', 'data': 'e28622.api1.akamaiedge.net', 'name': 'api16-normal-c-useast1a.tiktokv.com.edgekey.net', 'ttl': '10m39s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB912B', 'type': 'CNAME', 'data': 'edge.bytedance.swiftserve.com', 'name': 'v53.tiktokcdn.com', 'ttl': '45s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB9150', 'type': 'CNAME', 'data': 'ip-info-gcp.ff.avast.com', 'name': 'ip-info.ff.avast.com', 'ttl': '1m3s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB9172', 'type': 'CNAME', 'data': 'fe2cr.update.msft.com.trafficmanager.net', 'name': 'fe2cr.update.microsoft.com', 'ttl': '1m7s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB917E', 'type': 'CNAME', 'data': 'chat-e2ee-mini.c10r.facebook.com', 'name': 'chat-e2ee-mini.facebook.com', 'ttl': '9s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*FB9180', 'type': 'CNAME', 'data': 'wu-fg-shim.trafficmanager.net', 'name': 'download.windowsupdate.com', 'ttl': '1m9s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
